iter	Passed	Remaining
0	142	42536
1	144	21507
2	146	14485
3	148	11007
4	151	8948
5	153	7536
6	156	6569
7	159	5836
8	163	5286
9	165	4812
10	167	4411
11	170	4080
12	173	3830
13	175	3586
14	177	3374
15	179	3189
16	182	3037
17	184	2891
18	186	2762
19	188	2643
20	192	2559
21	195	2467
22	197	2374
23	199	2288
24	202	2222
25	204	2150
26	206	2085
27	208	2022
28	210	1970
29	212	1916
30	214	1864
31	217	1817
32	219	1776
33	221	1734
34	223	1694
35	225	1655
36	227	1619
37	230	1587
38	232	1555
39	234	1523
40	236	1492
41	238	1463
42	240	1438
43	242	1411
44	244	1387
45	246	1362
46	249	1343
47	251	1320
48	253	1298
49	255	1276
50	257	1256
51	259	1239
52	261	1219
53	263	1202
54	265	1184
55	268	1168
56	270	1152
57	272	1137
58	274	1123
59	277	1108
60	279	1096
61	282	1082
62	283	1068
63	286	1055
64	288	1044
65	290	1031
66	292	1018
67	295	1007
68	298	998
69	300	986
70	302	975
71	304	963
72	306	952
73	309	944
74	311	933
75	312	922
76	315	912
77	317	903
78	319	893
79	321	884
80	323	875
81	326	867
82	329	860
83	332	853
84	334	844
85	336	836
86	338	828
87	340	820
88	343	813
89	345	805
90	347	798
91	350	791
92	352	784
93	354	776
94	356	770
95	358	762
96	361	755
97	363	749
98	366	743
99	368	736
100	370	730
101	372	723
102	374	716
103	377	711
104	379	704
105	381	698
106	383	692
107	386	687
108	389	681
109	391	675
110	393	669
111	396	665
112	400	662
113	402	656
114	404	650
115	406	645
116	408	639
117	411	634
118	413	628
119	416	624
120	418	618
121	420	613
122	422	608
123	425	603
124	429	600
125	431	595
126	433	590
127	436	586
128	438	581
129	440	576
130	443	571
131	445	566
132	447	562
133	450	557
134	452	552
135	455	548
136	457	543
137	458	538
138	460	533
139	462	528
140	464	524
141	468	521
142	470	516
143	473	513
144	476	508
145	477	504
146	480	499
147	482	495
148	484	491
149	486	486
150	489	482
151	491	478
152	493	474
153	495	470
154	498	466
155	501	462
156	503	458
157	505	454
158	508	450
159	510	446
160	513	442
161	515	438
162	517	434
163	519	430
164	522	427
165	524	423
166	526	419
167	528	415
168	530	411
169	534	408
170	537	405
171	539	401
172	542	398
173	544	394
174	547	390
175	549	386
176	552	383
177	554	379
178	556	375
179	558	372
180	561	369
181	564	365
182	566	362
183	568	358
184	570	354
185	573	351
186	575	347
187	577	344
188	579	340
189	582	336
190	585	333
191	587	330
192	589	326
193	592	323
194	594	320
195	596	316
196	599	313
197	603	310
198	605	307
199	608	304
200	611	301
201	614	297
202	616	294
203	618	290
204	620	287
205	623	284
206	625	281
207	627	277
208	630	274
209	633	271
210	635	268
211	637	264
212	640	261
213	643	258
214	645	255
215	647	251
216	650	248
217	652	245
218	654	242
219	657	238
220	659	235
221	661	232
222	663	229
223	665	225
224	667	222
225	670	219
226	672	216
227	674	213
228	676	209
229	679	206
230	681	203
231	683	200
232	686	197
233	688	194
234	691	191
235	693	187
236	695	184
237	697	181
238	701	178
239	703	175
240	705	172
241	707	169
242	710	166
243	712	163
244	714	160
245	717	157
246	719	154
247	721	151
248	723	148
249	726	145
250	728	142
251	731	139
252	733	136
253	735	133
254	739	130
255	743	127
256	747	125
257	749	122
258	751	119
259	753	115
260	755	112
261	758	109
262	760	106
263	762	103
264	764	101
265	767	98
266	770	95
267	772	92
268	774	89
269	777	86
270	779	83
271	781	80
272	783	77
273	785	74
274	787	71
275	789	68
276	791	65
277	794	62
278	796	59
279	798	57
280	800	54
281	802	51
282	805	48
283	807	45
284	809	42
285	811	39
286	814	36
287	817	34
288	820	31
289	822	28
290	827	25
291	828	22
292	830	19
293	832	16
294	835	14
295	837	11
296	839	8
297	841	5
298	842	2
299	844	0
